taxonomy,name,slug
work_genre,新築,new-construction
work_genre,大規模修繕,major-renovation
work_genre,補修・改修,repair-renovation
work_use,医療・福祉施設,medical-welfare
work_use,学校・教育施設,school-educational
work_use,官公庁施設,government
work_use,スポーツ・レジャー,sports-leisure
work_use,工場・倉庫,factory-warehouse
work_use,店舗・商業施設,commercial
work_use,事務所ビル,office-building
work_use,集合住宅・マンション,apartment-mansion
work_use,ホテル,hotel
work_use,その他,other
work_construction,大規模修繕工事,major-renovation-work
work_construction,シーリング・コーキング工事,sealing-caulking-work
work_construction,防水工事,waterproofing-work
work_construction,外部補修工事・タイル補修工事,external-tile-repair-work
work_construction,下地補修工事,substrate-repair-work
work_construction,塗装工事,painting-work
work_construction,その他,other-work
work_year,2023年,2023
work_year,2024年,2024
work_year,2025年,2025
work_year,2026年,2026
